"state","date","cum.v1.case","cum.v2.case","cum.v1.death","cum.v2.death"
"New York","2021-06-06",19194062.8851541,18025006.6666667,19194062.8851541,18025006.6666667
"New York","2021-06-07",19127604.7619048,17974370,19127604.7619048,17974370
"New York","2021-06-08",19136247.6190476,17957833.3333333,19136247.6190476,17957833.3333333
"New York","2021-06-09",19107090.4761905,17890446.6666667,19107090.4761905,17890446.6666667
"New York","2021-06-10",19065533.3333333,17815760,19065533.3333333,17815760
"New York","2021-06-11",18971900,17761073.3333333,18971900,17761073.3333333
"New York","2021-06-12",18853166.6666667,17667386.6666667,18853166.6666667,17667386.6666667
"New York","2021-06-13",18707133.3333333,17647600,18707133.3333333,17647600
"New York","2021-06-14",18606950,17599500,18606950,17599500
"New York","2021-06-15",18538366.6666667,17631600,18538366.6666667,17631600
"New York","2021-06-16",18422233.3333333,17557025,18422233.3333333,17557025
"New York","2021-06-17",18264000,17474683.3333333,18264000,17474683.3333333
"New York","2021-06-18",18084766.6666667,17313335,18084766.6666667,17313335
"New York","2021-06-19",17859733.3333333,17152086.6666667,17859733.3333333,17152086.6666667
"New York","2021-06-20",17710200,17170680,17710200,17170680
"New York","2021-06-21",17575800,17182473.3333333,17575800,17182473.3333333
"New York","2021-06-22",17488100,17227766.6666667,17488100,17227766.6666667
"New York","2021-06-23",17309175,17185560,17309175,17185560
"New York","2021-06-24",17108550,17226353.3333333,17108550,17226353.3333333
"New York","2021-06-25",16813418.3333333,17147646.6666667,16813418.3333333,17147646.6666667
"New York","2021-06-26",16446086.6666667,17072740,16446086.6666667,17072740
"New York","2021-06-27",16329580,16955833.3333333,16329580,16955833.3333333
"New York","2021-06-28",16189573.3333333,16865626.6666667,16189573.3333333,16865626.6666667
"New York","2021-06-29",16116466.6666667,16833070,16116466.6666667,16833070
"New York","2021-06-30",15948160,16749313.3333333,15948160,16749313.3333333
"New York","2021-07-01",15797053.3333333,16645806.6666667,15797053.3333333,16645806.6666667
"New York","2021-07-02",15549046.6666667,16529300,15549046.6666667,16529300
"New York","2021-07-03",15300640,16368300,15300640,16368300
"New York","2021-07-04",15011733.3333333,16246300,15011733.3333333,16246300
"New York","2021-07-05",14808626.6666667,16172300,14808626.6666667,16172300
"New York","2021-07-06",14694020,16111400,14694020,16111400
"New York","2021-07-07",14489113.3333333,15980300,14489113.3333333,15980300
"New York","2021-07-08",14245606.6666667,15953500,14245606.6666667,15953500
"New York","2021-07-09",13980000,15715400,13980000,15715400
"New York","2021-07-10",13706600,15525600,13706600,15525600
"New York","2021-07-11",13467600,15327300,13467600,15327300
"New York","2021-07-12",13286900,15201655.1282051,13286900,15201655.1282051
"New York","2021-07-13",13171600,15132210.2564103,13171600,15132210.2564103
"New York","2021-07-14",13016800,14961215.3846154,13016800,14961215.3846154
"New York","2021-07-15",12799200,14728120.5128205,12799200,14728120.5128205
"New York","2021-07-16",12494900,14450425.6410256,12494900,14450425.6410256
"New York","2021-07-17",12174100,14120430.7692308,12174100,14120430.7692308
"New York","2021-07-18",11935700,13814735.8974359,11935700,13814735.8974359
"New York","2021-07-19",11764551.2820513,13631741.025641,11764551.2820513,13631741.025641
"New York","2021-07-20",11673902.5641026,13432946.1538462,11673902.5641026,13432946.1538462
